,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.92) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
91,Kyrgyzstan,5.131,5.2170000000000005,5.045,1.736,0.53,1.416,0.594,0.54,0.281,0.035
92,Bosnia and Herzegovina,5.129,5.224,5.035,1.883,0.915,1.078,0.758,0.28,0.21600000000000003,0.0
93,Mongolia,5.125,5.199,5.05,1.4380000000000002,0.914,1.517,0.575,0.395,0.253,0.032
94,Vietnam,5.103,5.1770000000000005,5.03,1.4469999999999998,0.715,1.365,0.7020000000000001,0.618,0.177,0.079
95,Indonesia,5.093,5.194,4.9910000000000005,1.4169999999999998,0.899,1.215,0.522,0.5379999999999999,0.484,0.018000000000000002
96,Bhutan,5.082,5.196000000000001,4.968999999999999,1.348,0.7959999999999999,1.335,0.527,0.541,0.364,0.171
97,Somalia,4.982,5.087,4.876,2.9610000000000003,0.0,0.7120000000000001,0.115,0.674,0.23800000000000002,0.282
98,Cameroon,4.975,5.09,4.86,2.688,0.535,0.8909999999999999,0.182,0.45399999999999996,0.183,0.043
99,Bulgaria,4.933,5.022,4.843999999999999,1.219,1.054,1.515,0.7120000000000001,0.359,0.064,0.009000000000000001
100,Nepal,4.88,4.992,4.769,1.7819999999999998,0.425,1.228,0.539,0.526,0.302,0.078
101,Venezuela,4.806,4.956,4.655,1.442,0.996,1.469,0.657,0.133,0.055999999999999994,0.052000000000000005
102,Gabon,4.758,4.86,4.657,1.715,1.036,1.1640000000000001,0.40399999999999997,0.35600000000000004,0.032,0.052000000000000005
103,Palestinian Territories,4.743,4.851,4.636,1.8530000000000002,0.642,1.217,0.602,0.266,0.086,0.076
104,South Africa,4.724,4.831,4.617,1.368,0.94,1.41,0.33,0.516,0.10300000000000001,0.055999999999999994
105,Iran,4.707,4.822,4.591,1.315,1.0590000000000002,0.7709999999999999,0.691,0.45899999999999996,0.282,0.129
