passenger_rank,airport_code,city_name,state_name,average_fair,average_fair_adjusted,year,quarter
292,PPG,Pago Pago,TT,"1,093.51","1,093.51",2020,1
293,ABR,Aberdeen,SD,561.89,561.89,2020,1
294,BQK,Brunswick,GA,522.76,522.76,2020,1
295,SMX,Santa Maria,CA,112.89,112.89,2020,1
296,BPT,Beaumont/Port Arthur,TX,486.28,486.28,2020,1
297,SWO,Stillwater,OK,442.36,442.36,2020,1
298,GGG,Longview,TX,537.72,537.72,2020,1
299,COD,Cody,WY,510.66,510.66,2020,1
300,OGS,Ogdensburg,NY,260.49,260.49,2020,1
301,CIU,Sault Ste. Marie,MI,539.72,539.72,2020,1
302,STC,St. Cloud,MN,246.32,246.32,2020,1
303,RHI,Rhinelander,WI,551.80,551.80,2020,1
304,MVY,Martha's Vineyard,MA,496.62,496.62,2020,1
305,HOB,Hobbs,NM,473.92,473.92,2020,1
306,BTM,Butte,MT,549.95,549.95,2020,1
307,GCC,Gillette,WY,547.23,547.23,2020,1
308,GCK,Garden City,KS,444.23,444.23,2020,1
309,CDC,Cedar City,UT,409.20,409.20,2020,1
310,BRD,Brainerd,MN,598.43,598.43,2020,1
311,PLN,Pellston,MI,570.17,570.17,2020,1
312,ART,Watertown,NY,407.11,407.11,2020,1
313,RKS,Rock Springs,WY,516.46,516.46,2020,1
314,ALO,Waterloo,IA,520.38,520.38,2020,1
315,DRT,Del Rio,TX,414.01,414.01,2020,1
316,MEI,Meridian,MS,436.71,436.71,2020,1
317,EAU,Eau Claire,WI,471.79,471.79,2020,1
318,IMT,Iron Mountain/Kingsfd,MI,464.57,464.57,2020,1
319,IPT,Williamsport,PA,375.83,375.83,2020,1
320,EKO,Elko,NV,610.07,610.07,2020,1
321,EAR,Kearney,NE,473.93,473.93,2020,1
322,HIB,Hibbing,MN,533.82,533.82,2020,1
323,LAR,Laramie,WY,499.60,499.60,2020,1
324,ESC,Escanaba,MI,446.65,446.65,2020,1
325,MKG,Muskegon,MI,419.56,419.56,2020,1
326,DIK,Dickinson,ND,522.57,522.57,2020,1
327,CMX,Hancock/Houghton,MI,513.22,513.22,2020,1
328,OWB,Owensboro,KY,126.01,126.01,2020,1
329,PSG,Petersburg,AK,405.03,405.03,2020,1
330,PRC,Prescott,AZ,490.25,490.25,2020,1
331,BFF,Scottsbluff,NE,493.05,493.05,2020,1
332,XWA,Williston,ND,605.65,605.65,2020,1
333,DUT,Unalaska,AK,"1,074.33","1,074.33",2020,1
334,CYS,Cheyenne,WY,373.97,373.97,2020,1
335,BFM,Mobile,AL,131.77,131.77,2020,1
336,LBF,North Platte,NE,471.60,471.60,2020,1
337,OGD,Ogden,UT,103.72,103.72,2020,1
338,PAH,Paducah,KY,565.75,565.75,2020,1
339,HYS,Hays,KS,508.10,508.10,2020,1
340,CDV,Cordova,AK,379.23,379.23,2020,1
341,GUC,Gunnison,CO,483.94,483.94,2020,1
342,APN,Alpena,MI,469.97,469.97,2020,1
343,SHD,Staunton,VA,474.26,474.26,2020,1
344,WRG,Wrangell,AK,342.02,342.02,2020,1
345,MMH,Mammoth Lakes,CA,288.63,288.63,2020,1
345,PUB,Pueblo,CO,439.03,439.03,2020,1
347,PIR,Pierre,SD,484.55,484.55,2020,1
348,SLN,Salina,KS,443.22,443.22,2020,1
349,INL,International Falls,MN,481.87,481.87,2020,1
350,VEL,Vernal,UT,499.03,499.03,2020,1
351,PQI,Presque Isle/Houlton,ME,503.31,503.31,2020,1
352,PIB,Hattiesburg/Laurel,MS,387.19,387.19,2020,1
353,CGI,Cape Girardeau,MO,518.69,518.69,2020,1
354,AKN,King Salmon,AK,846.25,846.25,2020,1
355,UIN,Quincy,IL,380.00,380.00,2020,1
356,ENA,Kenai,AK,594.54,594.54,2020,1
357,JMS,Jamestown,ND,529.64,529.64,2020,1
358,CNY,Moab,UT,411.31,411.31,2020,1
359,ATY,Watertown,SD,420.26,420.26,2020,1
360,DLG,Dillingham,AK,786.71,786.71,2020,1
361,OTH,North Bend/Coos Bay,OR,418.09,418.09,2020,1
362,LBL,Liberal,KS,436.77,436.77,2020,1
363,YAK,Yakutat,AK,437.13,437.13,2020,1
364,MKK,Hoolehua,HI,245.88,245.88,2020,1
365,HYA,Hyannis,MA,405.78,405.78,2020,1
366,DVL,Devils Lake,ND,467.48,467.48,2020,1
367,LWB,Lewisburg,WV,479.82,479.82,2020,1
368,LNY,Lanai,HI,235.07,235.07,2020,1
369,HOM,Homer,AK,593.77,593.77,2020,1
370,JHM,Kapalua,HI,285.98,285.98,2020,1
371,LEB,Lebanon-Hanover,NH,360.56,360.56,2020,1
372,MWA,Marion/Herrin,IL,427.33,427.33,2020,1
373,AUG,Augusta/Waterville,ME,427.43,427.43,2020,1
374,BHB,Bar Harbor,ME,551.83,551.83,2020,1
375,VCT,Victoria,TX,334.94,334.94,2020,1
376,ALS,Alamosa,CO,478.28,478.28,2020,1
376,TEX,Telluride,CO,684.77,684.77,2020,1
378,ADK,Adak Island,AK,"1,168.26","1,168.26",2020,1
379,DDC,Dodge City,KS,504.80,504.80,2020,1
380,PVC,Provincetown,MA,396.77,396.77,2020,1
381,RUT,Rutland,VT,393.89,393.89,2020,1
382,RKD,Rockland,ME,417.27,417.27,2020,1
383,CEZ,Cortez,CO,407.87,407.87,2020,1
383,IRK,Kirksville,MO,485.43,485.43,2020,1
385,VDZ,Valdez,AK,666.38,666.38,2020,1
386,DEC,Decatur,IL,364.49,364.49,2020,1
387,SHR,Sheridan,WY,560.34,560.34,2020,1
388,SLK,Saranac Lake/Lake Placid,NY,402.92,402.92,2020,1
389,DUJ,DuBois,PA,487.00,487.00,2020,1
390,RIW,Riverton/Lander,WY,517.96,517.96,2020,1
391,MAZ,Mayaguez,PR,471.67,471.67,2020,1
392,MGW,Morgantown,WV,373.31,373.31,2020,1
393,SDP,Sandpoint,AK,729.00,729.00,2020,1
394,CDB,Cold Bay,AK,"1,012.43","1,012.43",2020,1
395,MCK,McCook,NE,410.75,410.75,2020,1
396,BFD,Bradford,PA,479.33,479.33,2020,1
396,JST,Johnstown,PA,539.57,539.57,2020,1
398,VQS,Vieques,PR,677.18,677.18,2020,1
399,PDT,Pendleton,OR,415.08,415.08,2020,1
400,AOO,Altoona,PA,301.75,301.75,2020,1
401,TVF,Thief River Falls,MN,336.33,336.33,2020,1
401,TBN,Fort Leonard Wood,MO,388.93,388.93,2020,1
403,CDR,Chadron,NE,305.12,305.12,2020,1
404,CVN,Clovis,NM,346.89,346.89,2020,1
405,IPL,El Centro,CA,345.50,345.50,2020,1
405,SDY,Sidney,MT,512.50,512.50,2020,1
407,SOW,Show Low,AZ,480.25,480.25,2020,1
408,MSS,Massena,NY,274.67,274.67,2020,1
409,CNM,Carlsbad,NM,432.20,432.20,2020,1
410,MSL,Muscle Shoals,AL,635.00,635.00,2020,1
411,MCE,Merced,CA,453.80,453.80,2020,1
412,AIA,Alliance,NE,451.00,451.00,2020,1
413,CPX,Culebra,PR,359.93,359.93,2020,1
